year,age,length_mm,dry_weight_mg
2019,9,9.87,1.0105543948983242
2019,5,10.233,1.188171778409807
2019,9,11.294,1.8490664245495843
2019,6,10.27,1.2075529921604715
2019,7,10.413,1.2847792614704636
2019,10,10.33,1.2395031680288628
2019,9,8.923,0.6429485674323894
2019,14,13.473,4.077785718254368
2019,7,10.552,1.3634704493288512
2019,8,8.897,0.6345924725572274
2019,6,8.228,0.4469924323585428
2019,6,10.727,1.4678106408168499
2019,8,10.138,1.1395148831579247
2019,7,9.057,0.6873798869483148
2019,6,9.467,0.838293283115406
2019,9,10.6,1.3914964212502599
2019,8,8.326,0.47135954973827215
2019,6,10.692,1.4464624802206671
2019,11,12.868,3.3187454796388955
2019,9,11.945,2.377176501066466
2019,15,16.721,10.737929604260287
2019,10,13.972,4.799876909813966
2019,7,12.039,2.4621966026615643
2019,16,12.779,3.2170763541161014
2019,19,14.278,5.289440712293703
2019,5,9.256,0.7577252498878742
2019,10,13.247,3.7799740210293766
2019,13,17.49,13.135984146399869
2019,7,12.155,2.5703508002093414
2019,8,8.44,0.5009900354546044
2019,7,9.649,0.912998532217946
2019,9,10.157,1.1491201048755746
2019,11,15.038,6.673889789474152
2019,10,11.896,2.3337717760534553
2019,9,14.886,6.376755118549189
2019,6,7.697,0.3314477872338835
2019,10,13.968,4.7937197032277234
2019,10,10.996,1.640178820483251
2019,14,11.253,1.8191636657157195
2019,7,10.22,1.1814198556749314
2019,10,8.317,0.46907968246267917
2019,8,12.592,3.011344952039275
2019,5,11.312,1.8623144542728398
2019,6,10.363,1.2573534795160473
2019,8,12.608,3.028536519756098
2019,13,16.215,9.356072965133434
2019,13,14.926,6.453931165018764
2019,10,13.772,4.499450865647233
2019,13,15.795,8.317626260226605
2019,14,14.969,6.537702742006531
2019,7,13.815,4.5627737700390165
2019,11,15.438,7.507399321795756
2019,14,15.716,8.132745387596344
2019,10,14.356,5.420219253680667
2019,11,13.891,4.676384700241314
2019,5,13.387,3.962387724317868
2019,12,15.555,7.765853240695166
2019,9,13.605,4.259969424184952
2019,16,16.238,9.415714107851917
2019,11,13.978,4.809124238510459
2019,9,14.24,5.2266230784087355
2019,14,16.254,9.457377502700371
2019,13,16.53,10.198894569222437
2019,4,17.25,12.346999552139021
2019,7,15.56,7.7770502236256975
2019,11,14.513,5.691063168108342
2019,12,14.663,5.959541757185215
2019,13,15.443,7.518305740719055
2019,14,14.3,5.3260759560913105
2019,18,15.109,6.816314776347259
2019,9,15.075,6.747819686099472
2019,14,12.66,3.084936310475555
2019,12,11.758,2.214831962956598
2019,11,15.843,8.43154308324542
2019,12,14.343,5.39825023873187
2019,10,15.075,6.747819686099472
2019,11,13.771,4.497986409670514
2019,6,14.552,5.7599445335776975
2019,13,16.214,9.35348654696497
2019,10,11.99,2.417588034773817
2019,11,14.434,5.553496214263538
2019,10,12.881,3.33380249989619
2019,7,14.286,5.302739892223473
2019,8,9.144,0.7174796081634347
2019,8,7.093,0.22977702899888477
2019,10,11.862,2.3040179261490867
2019,8,11.053,1.6786397461653013
2019,6,9.225,0.746414655703115
2019,12,11.879,2.318857774093248
2019,10,12.46,2.8723891889945476
2019,5,9.192,0.7345189420749979
2019,8,12.089,2.508372104957575
2019,12,13.887,4.670350945418279
2019,10,12.634,3.056635349979931
2019,9,12.817,3.2601851179627666
2019,10,11.712,2.17625087314654
2019,5,10.881,1.5646679124085243
2019,7,9.153,0.7206508471705322
2019,12,13.122,3.6226806348779474
2019,9,10.639,1.414595349483125
2019,8,12.405,2.81598419795728
2019,7,9.708,0.9382933712020254
2019,10,8.922,0.6426256070004045
2019,8,12.533,2.9486053050865433
2019,6,10.07,1.1056483349533135
2019,4,8.565,0.535121853673804
2019,5,8.956,0.6536772077759929
2019,4,8.186,0.43685419606509346
2019,7,9.133,0.7136183851717054
2019,7,7.438,0.284298080773453
2019,5,7.984,0.39056248741397426
2019,7,9.666,0.9202318551325207
2019,5,10.213,1.177796573950932
2019,6,9.052,0.685680338104716
2019,7,7.836,0.3591378822801358
2019,7,10.833,1.5339616964486709
2019,6,9.524,0.8611587336796765
2019,7,12.178,2.5922266548667454
2019,5,10.116,1.128471103855927
2019,7,10.607,1.395620647216428
2019,4,9.881,1.0156131870954865
2019,4,12.93,3.3910335514315006
